image_name,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,URL_1,URL_2,URL_3,URL_4,URL_5,URL_6,URL_7,URL_8,URL_9,URL_10
1.png,0,0,0,0,0,1,0,0,0,0,0,https://lh3.googleusercontent.com/ci/AL18g_RjKyYktwwsw7ULetcRnkhtS-dvTXeyTbmXdS7SaC-SW_IU9q7rLkcYtwPdg8AoVoHkVor2bA,https://lh3.googleusercontent.com/ci/AL18g_Tiz5GRIE7dCapi9JPnQ-HNgq6cHzYll92bpdd77vrujxY6j2fkPkWpoFj0byz3J_CKU1p4qRU,https://lh3.googleusercontent.com/ci/AL18g_TD7vUOG9lFQlrY_gewKFu2P0hyx2BhJIlgTp_7UQTYkeG9TboKguaDvtIGd3318ZThltUZd0WP,https://lh3.googleusercontent.com/ci/AL18g_R5vnrC2hH0HIzkwhjrfVGpwzO9E8Thf2lwwplhlTvsABe6sDjscz6H_W4XTJhQ2MaQyNATsar7,https://lh3.googleusercontent.com/ci/AL18g_SmWL8svuihzeG4WCmVXsFpuU1pNrLzlvNJn2CGiBEJZrONAhkR5LggnrdtVSWbbIuyAyYL9Q,https://lh3.googleusercontent.com/ci/AL18g_RyMe5VIaJznC6WYY3pD-UFtilu5TsUmrzug1aUzibm_shjZpWvHNVky0Bhq16CYtqPip6Z6w,https://lh3.googleusercontent.com/ci/AL18g_RVxIh-VhjExH5sawPVAWolh_3YrMA5TWzbEc7mM5HSLiBpnlODhWuwSCsrnQPbLhCUuO6-UE8,https://lh3.googleusercontent.com/ci/AL18g_SgHY0PnxBrVw4N9YgFkLfJZo9_-WMTvkQBnNFpYHlRA_w0fYv4kPLJJxKiwkS9D76ny7iSRVI,https://lh3.googleusercontent.com/ci/AL18g_QSCme_OZI9IlzBaunlytXkn70eazqcXsWvatjJ5eI-E-Fi5f_VYAfW92__qQKgdT9QRmWQ-MfF,https://lh3.googleusercontent.com/ci/AL18g_RQpAO5SESV2SNiL7dk-demXnGQj2XnV5XP-ELP3142xkAcfsMJrhVr7_SrGJmpVH8JNs93cFQ
2.png,0,0,1,0,0,0,0,0,0,0,0,https://lh3.googleusercontent.com/ci/AL18g_Qn-ZSFAWWoK3f59UNDpuCkaUUhsYFNiatu6OYPYOKCkZo2Icg3h-YsyBDq8dWJkT4msRmC6u4,https://lh3.googleusercontent.com/ci/AL18g_RbyC_S8icx5xYBYxlBfIwpd526IafleDZHufbD9e_7MZ0sSdNy_pJbZpEqSOgvDB4vPnCEw8I,https://lh3.googleusercontent.com/ci/AL18g_SXwH5Jka3Gbd42JMV9oGgx_GPbNN2tsz0lRGmXc-vKii2xyF4Pa83KL22QZ3qwij3thym0yg,https://lh3.googleusercontent.com/ci/AL18g_S29lxnTtpzK9wt6LhMNvQMC31f07kB0huWjIa9f5C8MDhx1tZBbEU4CzCNv9noqxs_Us1HDbZu,https://lh3.googleusercontent.com/ci/AL18g_SQDzKLx0inZ_QuNnj2XcxfjktFrazwzpSKaFijaDvWIxvmBblKYQuwNcL1ZMTegrtZPs3QD-Vi,https://lh3.googleusercontent.com/ci/AL18g_Qig2ynyRIyJA9-5TadlZYhyjiz6-AB5XtasiIQaWTwBudKh3uU4EbVjriFSIQNOFl08IkNLZY,https://lh3.googleusercontent.com/ci/AL18g_SZMolyXEAz2fr5n28UQ-LvEovzaN1mZdslQghPHAzIQqoWiBO8CIb9851jHip27ec1Rk43vKo,https://lh3.googleusercontent.com/ci/AL18g_TbK9-r0pPSxIp5G5GsBTSSP0pqz_Hi6H4dtqRuVFk09ZeV1a3UY-fqcK3K3qt4uQSCsYZ0vXQn,https://lh3.googleusercontent.com/ci/AL18g_TfbyWvHpXjUDr3R2bi5KFFRdZCpEkGgQUk-DOCJc4LUCbmVBfbN1JQfoeccHdE12DMaG3vgQ0,https://lh3.googleusercontent.com/ci/AL18g_SVzPjiPlc6cGMUG8EUSl7MWg_BOVeX4TAXnVS6ZAKFUIXoyIHgzGEuNkSjnZhQuzcdkdBZ4Q
3.png,0,0,0,0,0,0,0,0,0,0,1,https://lh3.googleusercontent.com/ci/AL18g_R6hHvhgsRHiXlHl5YJVa2e_Iiw7QgHFjsz1RCayrje9Cs_z6FKHU3UUplwU5okIQkzZQcg1Q,https://lh3.googleusercontent.com/ci/AL18g_Sz6kvo7WMEtaCR6v7gUPqxMnJ4pzCPBQJh-RlikZBx-4ixJNbY25wuOLDeauFvmJTgZ8WcPW0,https://lh3.googleusercontent.com/ci/AL18g_S4HaxFZbVYhGu8Im_VEczqEHbOatskiZCAXRbmkS3RwjCDO8NXAs-__1aNZXIwCYn82p1H3uk,https://lh3.googleusercontent.com/ci/AL18g_RQ74PbBTAxQWHQYopANCyeHO5dF16l-7nsTRqvmD0bVtgbh7R5EzO_GzFZGZiZ2J5k5OVgeQ,https://lh3.googleusercontent.com/ci/AL18g_SYhEwnFvXF3-nSb3Y_KKkl51rYiGGzVLSaDxPd5Sp09GW2NOelv7AlCVYrQmPEnWuP2b-Wzg,https://lh3.googleusercontent.com/ci/AL18g_RCEmSft8sTmmCE--KjjK2-bfgnfqko2kZXI4lURqZpYUagsX0Mic5BmAnnzLx28EnFCFXNU3U,https://lh3.googleusercontent.com/ci/AL18g_TYvv00r97_n9g0_8gsaZEJVU2x43WO7KpSF_mWFrCN-XM7kAgia13r-k50uAp8drGKMlN0Mw,https://lh3.googleusercontent.com/ci/AL18g_T2_mjd6kAK0ngejYLSz-elQ7vpCsJXofupkWUTSKfF2KGv7Vn8oNZ5dG95GQd8maGUi8wvo3c,https://lh3.googleusercontent.com/ci/AL18g_Qe0Bnegc00HMVZA2l-yXsuF3NlMS9kjcdlF_sG6z9VzjRkjL4mOUfRqOcKi55hX_HwZh4d9Zg,https://lh3.googleusercontent.com/ci/AL18g_QmSx9wFsmjHhRmLc8nz7sWkuJ09ZzSbUI1kG8DQlXPky24ytWG6-MlbWDjT-ctoqRcYeekxA4.png
4.png,0,0,1,0,1,0,0,0,0,1,1,https://lh3.googleusercontent.com/ci/AL18g_QxNRS8tJyq7tOXvNzrt3CbMeYPdVuZzaZ-tPLVUQHXg3tno2YkekrEg-qIR6nzObm51rlvZg,https://lh3.googleusercontent.com/ci/AL18g_RZ4hBwwy9hsliw3IdRfYNgd_Sru_bOTC6nc2-YXORZAHkt6mheWkp_htl63f5BHQpdgeACtg,https://lh3.googleusercontent.com/ci/AL18g_R_48kmnpOi-zCgEzulF75N8JB53c_F1AOWDXt4El6eJIvX_y-1WAEM_jJLSpDBvw6XayM7rQ,https://lh3.googleusercontent.com/ci/AL18g_QMVTBIx9CAepPsb-XMWNp0anSuw2xnHy0QQxvZtjVyinaxjLjq_eJfGn5e-EHqtcTEwlOcyg,https://lh3.googleusercontent.com/ci/AL18g_TGTru2pWFu1-W1z_gD14mtF5na0UxZ1N5NIRyufQHK46Sb0V84tdwj114v9cEFepaV5a6U2w,https://lh3.googleusercontent.com/ci/AL18g_ROxDVucr5xq9MzeeP30yBE9AyqM2_OBYwAnxgm2Cfh7OzC5tvpeNSx5pcIR2gAPVa3jZLVRZdV,https://lh3.googleusercontent.com/ci/AL18g_TdZnqsF4FGZqfwizMRFJ1PgV7Rkk-BwThuJnO01G310VC08HuwgdCR46JtO35DO2q_0fo3yuKU,https://lh3.googleusercontent.com/ci/AL18g_TO_dfu1hiI0ANn6_23we5iw_BweRudCpvM4i124nh4UgFUDUC4uXdzEiJMFIg0jSOZg3FOTmU,https://lh3.googleusercontent.com/ci/AL18g_TCWGW8SDx-yPooW5UVe7v_DVYQdEbxeEssm0Dgdr0Ff9y1RbOBPe-5v394kXh7AejdFciVCg,https://lh3.googleusercontent.com/ci/AL18g_RsVHZ510Lx1-gNzb65xs-a6jCs6lWZz4geEOScxVee9Ygg_a6cm64vOnRrzAACO8C9-QQwgw
5.png,0,0,0,0,0,1,1,0,1,0,0,https://lh3.googleusercontent.com/ci/AL18g_Q1afLd5s6UCvhZQ_zVF6n0uarBwdC1g_qD0xFeRc5poKX67XYw2m3WPzZ9L5HWIBpiHZ2xnnjt,https://lh3.googleusercontent.com/ci/AL18g_SeoWRj4Y8kITFfrYgiA6TMmmD0x3dCJ3qsK4-ngJ9iRajtgNSjZ2fxhhwtqv2ELfh4TruqGA,https://lh3.googleusercontent.com/ci/AL18g_QeyMbydZ8-yT1geIbkgEIZzwkajSx0bDfN4FSgOVDnPmwBIar4DmrAzqR4H7Yiy2vumkEbQQ,https://lh3.googleusercontent.com/ci/AL18g_QVJuxgMsn3mLMO3IpQ__hAZWrDrxCPz0X0bnAV3_E8QXpeoLewfq6cAkRHRAyMjEVwnEz8Zg,https://lh3.googleusercontent.com/ci/AL18g_TpwHX_fa8WVlk_rJdpREBnpED4eQ35veRokd-86TtOEStZH3JFCXTkl--2l2HwkUFlMIHHu6A,https://lh3.googleusercontent.com/ci/AL18g_TlIrcUyuTXCc3ovF3trJlo4ip3mrz55QxIrSsiSJM8kPZlirdDId4Vm4wddEXeUg50JmP1XQ,https://lh3.googleusercontent.com/ci/AL18g_SFurZYcvBfMYXYFbYeYb0TIqr6zOQxnEewFl0EhOV4TqL2_Ujh2KGUpztex-4Rhe2XzvsdlA,,,
6.png,0,0,0,0,0,0,0,1,0,0,0,https://lh3.googleusercontent.com/ci/AL18g_Rm2_FaGEt434QHJA_MMguHm7CpmMTA49FEo6xmP8N2dCWiong6LnDzo628zP48Bv68-4uyODc,https://lh3.googleusercontent.com/ci/AL18g_Q3ho_QTvajv04wk_3NI4eUxK6sRGzX9dRRmBWqp_a5v31LWW2prPtdD4QYYZYe_LdTOFkkqXI,https://lh3.googleusercontent.com/ci/AL18g_S-Yf5EpPdPgscN2rFyBC8R9CCyqLjGlU7ap5eRFB0Xx7gldUYcPHfDGzlPVFq9W5m0gqUirA,https://lh3.googleusercontent.com/ci/AL18g_RQaTPPAGUW0XOiqwEiKPdtw39VdQjISZBRyV_i-W6YoRjKTIOKHxEWGQRdWcQHcTTq0F1QaFY,https://lh3.googleusercontent.com/ci/AL18g_SCQkQA3OQ-I69SkcxWpG7FgnLkse26KNRAT2bmiFvaI9wlr-YIz6Xi3mW_7I5GVB9mbaya6A,https://lh3.googleusercontent.com/ci/AL18g_QxpgRRcxndeFKvwVDr4m7gAo-uf0zxQ4EOUZp60lWLiX0O1_7npzw6cscdUp12h3GEzbPqTj4,https://lh3.googleusercontent.com/ci/AL18g_TCd-DRXKbMN-8mMnepYnItcrJQycM9QZ1np9Im9AU0UulFPrdaxbpTRaB9D4DOtg30aCxRF-w,https://lh3.googleusercontent.com/ci/AL18g_QOYai20T3ii9_zc2uIZWQpPPTbrj3kD6biGAUF3NbZn-KnctBNu-j0-xVyS3V5ohv0ps0resnc,https://lh3.googleusercontent.com/ci/AL18g_RJltOcB-IM_JoMu9YUYhrFuNuWmZZYJnn_gSwxB2zeZl2hBb52TPaRTBUSyzkCE9ht03V8ew,https://lh3.googleusercontent.com/ci/AL18g_TBpjSg6M7Qe4MWztVURD_NDtXnbZUfiRpRQjD6C5Gxy6lFC5dPfceXYX4mTkCRcIpub-hb_Q
7.png,0,0,0,0,0,0,0,0,0,0,1,https://lh3.googleusercontent.com/ci/AL18g_QUP_1zzcrWKR4pVTJU_XJrXDNa1qH3ZfREtc9zHxohxO4eYn-K58p6447IgwUDfmnPEzgxjto,https://lh3.googleusercontent.com/ci/AL18g_S1qpTTEbYEZa9ApmTfnlVXkx5Ux8aDrZW6NOmDClKC77mgxsuuGLfTGb7zbCek8pdolPT6yIw,https://lh3.googleusercontent.com/ci/AL18g_SQuCdv68klvbFBd2idPteIV87FQwYVOxDHTy5LTcpy_XXsDAG_UQacCchMyN6vAcv2Qyuq,https://lh3.googleusercontent.com/ci/AL18g_TIYN5PWUhbTQlP2iW27C0lKVbKLwpQQg7LcWuq-SHM60gP_OFc0Pb8vn6xl4ICYVWWksY0QA,https://lh3.googleusercontent.com/ci/AL18g_TD7vUOG9lFQlrY_gewKFu2P0hyx2BhJIlgTp_7UQTYkeG9TboKguaDvtIGd3318ZThltUZd0WP,https://lh3.googleusercontent.com/ci/AL18g_Sg67AcxV0uSjGTB1M8sl643IxDHqtem5wLSxwTXuRenjdiBPHTKyzpBo2OT44PoKhUoON2udEN,https://lh3.googleusercontent.com/ci/AL18g_SlL3p85ynx7QQmx_1hO08md0gELBUVUAsld-gAChpvx-JpHli2G1p91nCuIbHEohcC92yQiRg,https://lh3.googleusercontent.com/ci/AL18g_Q0r5viOR1NEMGxVAaNF2KzE1Imoyc3BUbq_iMh0WeBIOc2Te255rQzk9KdTcccCn70Qck,,
8.png,0,0,0,0,0,0,0,0,1,0,0,https://lh3.googleusercontent.com/ci/AL18g_QeyMbydZ8-yT1geIbkgEIZzwkajSx0bDfN4FSgOVDnPmwBIar4DmrAzqR4H7Yiy2vumkEbQQ,https://lh3.googleusercontent.com/ci/AL18g_RAS0HjrcRtb_mEShgZ-aqB5hcGYSjTUHk6BPs1OKSDyZvrVQFFBdgVVv_o6ksSOfSWz7lL4A,https://lh3.googleusercontent.com/ci/AL18g_SLif5RKTZhExllWVmVkv4xebHySJ8OPOJBTp7ZkqXLRaWOV1iQl6oDZ6CMgnSEnol8XkHzFg,https://lh3.googleusercontent.com/ci/AL18g_RbIK5HeZyqwDndUTJo-UJuDZ1zUn-jWZyyfVIhTI0KMm-zSocRiqKkAE-fFTDJNBGK3TqA96U,https://lh3.googleusercontent.com/ci/AL18g_RoReJG11BQpsPxNf3O70nwkYdJScHtl7Y29A6pNL2rSVjpajyqALQBjb48OO4ahwhMpLr8,https://lh3.googleusercontent.com/ci/AL18g_QocYlEcV_ZN2moxrScEyhDWp47KNBDK74ngwBtCueUo2EBrqKoUb7DP3Bq7tBR4aprPMKdKg,https://lh3.googleusercontent.com/ci/AL18g_SQuCdv68klvbFBd2idPteIV87FQwYVOxDHTy5LTcpy_XXsDAG_UQacCchMyN6vAcv2Qyuq,https://lh3.googleusercontent.com/ci/AL18g_T_zlBxC7tjSiRiQJ9tUH6-aQxMjCZk47o1qq5RTGGgVghBuy4oCuDzVZILzeIXcE6O-mU6JA,https://lh3.googleusercontent.com/ci/AL18g_Tiz5GRIE7dCapi9JPnQ-HNgq6cHzYll92bpdd77vrujxY6j2fkPkWpoFj0byz3J_CKU1p4qRU,https://lh3.googleusercontent.com/ci/AL18g_To2m9Lv5sQuktA4gIozwqm_Upl6eVVR8_u1QHOsOrbdKf3-yN5OEg_t30xg1HgBlKwdvNSuvE
9.png,0,0,0,0,0,1,0,0,0,0,0,https://lh3.googleusercontent.com/ci/AL18g_Tiz5GRIE7dCapi9JPnQ-HNgq6cHzYll92bpdd77vrujxY6j2fkPkWpoFj0byz3J_CKU1p4qRU,https://lh3.googleusercontent.com/ci/AL18g_RjKyYktwwsw7ULetcRnkhtS-dvTXeyTbmXdS7SaC-SW_IU9q7rLkcYtwPdg8AoVoHkVor2bA,https://lh3.googleusercontent.com/ci/AL18g_S7TD2VfTAAycAOaWngaSpRFoudtToUSS26MJUbcqXbpU2UpKSX1OmuSeoOxsrT6-cBXJ0Wqg,https://lh3.googleusercontent.com/ci/AL18g_R5vnrC2hH0HIzkwhjrfVGpwzO9E8Thf2lwwplhlTvsABe6sDjscz6H_W4XTJhQ2MaQyNATsar7,https://lh3.googleusercontent.com/ci/AL18g_RXvL-In1dMetqxf1XEtrz4coE-vmutQDTDlS-j2sm8HZZ4tMf3sj7eQjd88BU6tu5a6pE9,https://lh3.googleusercontent.com/ci/AL18g_QH0j0cFUleCYGAdXzJ3QetNQM_VQF_PDKeFPQnSvL7LtxyjQOHSRhXT93Xn_a2_fzkkki_Jz-I,https://lh3.googleusercontent.com/ci/AL18g_TBpjSg6M7Qe4MWztVURD_NDtXnbZUfiRpRQjD6C5Gxy6lFC5dPfceXYX4mTkCRcIpub-hb_Q,https://lh3.googleusercontent.com/ci/AL18g_THScc642Af9PoPlrwzM_dVX82atIDY6gJYFOQmrRsXKfelhgD7mcPCIrf-O0Ppj4omv6hhgXM,https://lh3.googleusercontent.com/ci/AL18g_RQpAO5SESV2SNiL7dk-demXnGQj2XnV5XP-ELP3142xkAcfsMJrhVr7_SrGJmpVH8JNs93cFQ,https://lh3.googleusercontent.com/ci/AL18g_TdE_XyROlD1D7qoF6kiLJnIB4JehIjLhnsdcejQQfeIJSc1gPYhVwG469rH7sUXUdVR3wr4_8
